cls,qtd_features,scoring,score,features
LinearRegression(),15,neg_mean_squared_error,-67.9678795485327,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'MCARI1_d04',
       'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),15,explained_variance,0.8625499804183144,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'MCARI1_d04',
       'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),15,d2_absolute_error_score,0.5986177008037956,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'MCARI1_d04',
       'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),16,rand_score,0.9941414141414141,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04',
       'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08',
       'SR_d08'],
      dtype='object')"
LinearRegression(),16,r2,0.8539354093351493,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04',
       'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08',
       'SR_d08'],
      dtype='object')"
LinearRegression(),16,max_error,-16.07238952228693,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04',
       'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08',
       'SR_d08'],
      dtype='object')"
LinearRegression(),16,neg_mean_squared_error,-69.07728497579703,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04',
       'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08',
       'SR_d08'],
      dtype='object')"
LinearRegression(),16,explained_variance,0.8617348693360999,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04',
       'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08',
       'SR_d08'],
      dtype='object')"
LinearRegression(),16,d2_absolute_error_score,0.597843189019981,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04',
       'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08',
       'SR_d08'],
      dtype='object')"
LinearRegression(),17,rand_score,0.9941414141414141,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'SR_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04',
       'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08',
       'SR_d08'],
      dtype='object')"
LinearRegression(),17,r2,0.8498948606438613,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'SR_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04',
       'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08',
       'SR_d08'],
      dtype='object')"
LinearRegression(),17,max_error,-16.217841413253858,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'SR_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04',
       'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08',
       'SR_d08'],
      dtype='object')"
LinearRegression(),17,neg_mean_squared_error,-71.05762292934303,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'SR_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04',
       'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08',
       'SR_d08'],
      dtype='object')"
LinearRegression(),17,explained_variance,0.8580441922614972,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'SR_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04',
       'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08',
       'SR_d08'],
      dtype='object')"
LinearRegression(),17,d2_absolute_error_score,0.5921669791656091,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'SR_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04',
       'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08',
       'SR_d08'],
      dtype='object')"
LinearRegression(),18,rand_score,0.9941414141414141,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'SR_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'SR_d01', 'NDVI_d04', 'SAVI_d04',
       'GNDVI_d04', 'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08',
       'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),18,r2,0.8484410541104715,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'SR_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'MCARI1_d01', 'SR_d01', 'NDVI_d04', 'SAVI_d04',
       'GNDVI_d04', 'MCARI1_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08',
       'MCARI1_d08', 'SR_d08'],
      dtype='object')"
